Category,Entity,Year,Value
Coal per capita (kWh),China,1980,3538.703125
Gas per capita (kWh),China,1980,143.809677124
Oil per capita (kWh),China,1980,972.446105957
Coal per capita (kWh),China,1981,3471.516601562
Gas per capita (kWh),China,1981,126.626579285
Oil per capita (kWh),China,1981,908.787536621
Coal per capita (kWh),China,1982,3623.562744141
Gas per capita (kWh),China,1982,116.969268799
Oil per capita (kWh),China,1982,886.963195801
Coal per capita (kWh),China,1983,3826.635009766
Gas per capita (kWh),China,1983,118.051391602
Oil per capita (kWh),China,1983,892.240295410
Coal per capita (kWh),China,1984,4099.773925781
Gas per capita (kWh),China,1984,118.390747070
Oil per capita (kWh),China,1984,911.846313477
Coal per capita (kWh),China,1985,4403.413574219
Gas per capita (kWh),China,1985,121.158790588
Oil per capita (kWh),China,1985,939.578186035
Coal per capita (kWh),China,1986,4521.790039062
Gas per capita (kWh),China,1986,126.648963928
Oil per capita (kWh),China,1986,981.193298340
Coal per capita (kWh),China,1987,4813.424804688
Gas per capita (kWh),China,1987,125.430679321
Oil per capita (kWh),China,1987,1023.419372559
Coal per capita (kWh),China,1988,5072.603027344
Gas per capita (kWh),China,1988,126.323860168
Oil per capita (kWh),China,1988,1080.541259766
Coal per capita (kWh),China,1989,5220.238769531
Gas per capita (kWh),China,1989,130.938690186
Oil per capita (kWh),China,1989,1111.683471680
Coal per capita (kWh),China,1990,5212.509277344
Gas per capita (kWh),China,1990,131.009872437
Oil per capita (kWh),China,1990,1083.006347656
Coal per capita (kWh),China,1991,5393.110839844
Gas per capita (kWh),China,1991,130.873367310
Oil per capita (kWh),China,1991,1156.129516602
Coal per capita (kWh),China,1992,5578.381835938
Gas per capita (kWh),China,1992,131.880813599
Oil per capita (kWh),China,1992,1239.66015625
Coal per capita (kWh),China,1993,5883.045898438
Gas per capita (kWh),China,1993,138.633422852
Oil per capita (kWh),China,1993,1365.074584961
Coal per capita (kWh),China,1994,6212.63671875
Gas per capita (kWh),China,1994,143.876724243
Oil per capita (kWh),China,1994,1374.48046875
Coal per capita (kWh),China,1995,6234.767089844
Gas per capita (kWh),China,1995,144.082946777
Oil per capita (kWh),China,1995,1471.190795898
Coal per capita (kWh),China,1996,6467.845703125
Gas per capita (kWh),China,1996,149.693939209
Oil per capita (kWh),China,1996,1616.307250977
Coal per capita (kWh),China,1997,6285.211425781
Gas per capita (kWh),China,1997,156.882614136
Oil per capita (kWh),China,1997,1760.342651367
Coal per capita (kWh),China,1998,6188.542480469
Gas per capita (kWh),China,1998,160.508102417
Oil per capita (kWh),China,1998,1798.445434570
Coal per capita (kWh),China,1999,6319.889160156
Gas per capita (kWh),China,1999,169.042724609
Oil per capita (kWh),China,1999,1901.846557617
Coal per capita (kWh),China,2000,6362.714355469
Gas per capita (kWh),China,2000,191.358200073
Oil per capita (kWh),China,2000,2035.484252930
Coal per capita (kWh),China,2001,6647.337402344
Gas per capita (kWh),China,2001,212.802230835
Oil per capita (kWh),China,2001,2065.420410156
Coal per capita (kWh),China,2002,7241.703613281
Gas per capita (kWh),China,2002,224.985824585
Oil per capita (kWh),China,2002,2214.856689453
Coal per capita (kWh),China,2003,8578.29296875
Gas per capita (kWh),China,2003,259.823883057
Oil per capita (kWh),China,2003,2459.327392578
Coal per capita (kWh),China,2004,9942.885742188
Gas per capita (kWh),China,2004,302.202636719
Oil per capita (kWh),China,2004,2855.276123047
Coal per capita (kWh),China,2005,11576.029296875
Gas per capita (kWh),China,2005,352.990264893
Oil per capita (kWh),China,2005,2884.396972656
Coal per capita (kWh),China,2006,12640.669921875
Gas per capita (kWh),China,2006,431.734771729
Oil per capita (kWh),China,2006,3075.868652344
Coal per capita (kWh),China,2007,13687.961914062
Gas per capita (kWh),China,2007,528.069946289
Oil per capita (kWh),China,2007,3204.745117188
Coal per capita (kWh),China,2008,13827.083984375
Gas per capita (kWh),China,2008,605.309875488
Oil per capita (kWh),China,2008,3256.642333984
Coal per capita (kWh),China,2009,14403.071289062
Gas per capita (kWh),China,2009,662.841979980
Oil per capita (kWh),China,2009,3364.973144531
Coal per capita (kWh),China,2010,14858.967773438
Gas per capita (kWh),China,2010,795.391601562
Oil per capita (kWh),China,2010,3809.504394531
Coal per capita (kWh),China,2011,16084.765625
Gas per capita (kWh),China,2011,981.933105469
Oil per capita (kWh),China,2011,3916.267822266
Coal per capita (kWh),China,2012,16195.915039062
Gas per capita (kWh),China,2012,1089.993408203
Oil per capita (kWh),China,2012,4084.867431641
Coal per capita (kWh),China,2013,16450.666015625
Gas per capita (kWh),China,2013,1234.863037109
Oil per capita (kWh),China,2013,4244.227539062
Coal per capita (kWh),China,2014,16371.506835938
Gas per capita (kWh),China,2014,1345.975952148
Oil per capita (kWh),China,2014,4389.223632812
Coal per capita (kWh),China,2015,15976.998046875
Gas per capita (kWh),China,2015,1383.870483398
Oil per capita (kWh),China,2015,4698.372558594
Coal per capita (kWh),China,2016,15751.817382812
Gas per capita (kWh),China,2016,1481.144042969
Oil per capita (kWh),China,2016,4825.55859375
Coal per capita (kWh),China,2017,15747.7421875
Gas per capita (kWh),China,2017,1697.737426758
Oil per capita (kWh),China,2017,5054.934570312
Coal per capita (kWh),China,2018,15770.544921875
Gas per capita (kWh),China,2018,1988.767944336
Oil per capita (kWh),China,2018,5277.67578125
Coal per capita (kWh),China,2019,15828.079101562
Gas per capita (kWh),China,2019,2150.790283203
Oil per capita (kWh),China,2019,5520.481445312
Coal per capita (kWh),China,2020,15897.920898438
Gas per capita (kWh),China,2020,2338.718017578
Oil per capita (kWh),China,2020,5547.363769531
Coal per capita (kWh),China,2021,16573.73828125
Gas per capita (kWh),China,2021,2622.145019531
Oil per capita (kWh),China,2021,5885.257324219
